player_name,dist_al_arco,angulo_tiro,is_BigChance,is_Penalty,is_OneOnOne,threat,is_goal
Hugo Ekitiké,29.798154305258578,0.6784096888661106,0,0,0,728.0,False
Mohamed Salah,23.6019067026374,0.9145840382381858,0,0,0,644.0,False
Virgil van Dijk,8.614522621712704,0.05807415956295397,1,0,0,364.0,False
Antoine Semenyo,10.208329931972228,0.5118558424318239,1,0,0,854.0,False
Evanilson,10.257680049601856,1.0504410232949033,0,0,0,0.0,False
Virgil van Dijk,9.363759928575698,0.3487710035839074,0,0,0,364.0,False
Marcus Tavernier,13.168523075880605,0.16015496112206576,1,0,0,432.0,False
Hugo Ekitiké,11.1610931364271,0.21672531372473983,1,0,0,728.0,True
Hugo Ekitiké,6.044005294504628,0.28511773517259675,1,0,0,728.0,False
David Brooks,23.50531854708632,0.906021831977551,0,0,0,398.0,False
Hugo Ekitiké,4.429446918070026,0.4939413689195809,0,0,0,728.0,False
Marcus Tavernier,30.423181950611276,0.6290379490496846,0,0,0,432.0,False
Mohamed Salah,16.68202625582396,0.4529241594681927,0,0,0,644.0,False
Evanilson,19.86579975737196,0.9031307382015419,0,0,0,0.0,False
Cody Gakpo,14.921461054467828,0.053639771326814877,0,0,0,629.0,True
Alexis Mac Allister,28.40844944730353,0.5645693936681001,0,0,0,273.0,False
Jeremie Frimpong,27.730849247724088,0.47977524284444234,0,0,0,113.0,False
Dominik Szoboszlai,29.652993103563755,0.19342732671084753,0,0,0,297.0,False
Florian Wirtz,16.542067585401774,0.25670833043338587,0,0,0,530.0,False
Antoine Semenyo,9.291393867445295,0.140374985764333,1,0,0,854.0,True
Cody Gakpo,30.004166377354988,1.0549573522069866,0,0,0,629.0,False
David Brooks,14.353396810511438,0.8840864240458552,0,0,0,398.0,False
Evanilson,12.949517365523702,0.8236308898330501,0,0,0,0.0,False
Antoine Semenyo,17.582377541163197,0.09683900526130718,0,0,0,854.0,True
Dominik Szoboszlai,15.61697794069006,0.38050637711236474,0,0,0,297.0,False
Dominik Szoboszlai,21.241704263076443,0.882085705143688,0,0,0,297.0,False
Cody Gakpo,14.22743827960607,0.8949576901713924,0,0,0,629.0,False
Federico Chiesa,10.751744044572492,0.32175055439664196,0,0,0,138.0,True
Mohamed Salah,15.155856953666454,0.8414142669406277,0,0,0,644.0,True
Anthony Elanga,14.803040228277437,0.46968983154150695,1,0,0,161.0,False
Anthony Gordon,21.856349191939625,0.869614085898478,0,0,0,479.0,False
Anthony Gordon,19.18150150535667,0.6560134901850584,0,0,0,479.0,False
Anthony Gordon,7.615773105863909,0.40489178628508343,1,0,0,479.0,False
Anthony Elanga,16.36704005005181,1.003129902423017,0,0,0,161.0,False
Anthony Gordon,24.377243486497807,0.48199417411392637,0,0,0,479.0,False
Anthony Gordon,21.354624791833725,0.7853981633974483,0,0,0,479.0,False
Fabian Schär,30.39078807796863,0.5313904002708546,0,0,0,108.0,False
Boubacar Kamara,10.261578825892249,0.2662520491509255,1,0,0,75.0,False
Ollie Watkins,15.660459763365829,0.35204431431541716,0,0,0,778.0,False
Fabian Schär,24.123432591569554,0.18763977180436622,0,0,0,108.0,False
Anthony Gordon,33.61220016601115,0.2803429745103971,0,0,0,479.0,False
Harvey Barnes,14.92816130673835,0.8185613559000129,0,0,0,575.0,False
Harvey Barnes,19.12302277360983,0.2107281031440264,0,0,0,575.0,False
Donyell Malen,23.853720883753127,1.2198763293844679,0,0,0,290.0,False
Harvey Barnes,24.129857024027313,0.8235028775445693,0,0,0,575.0,False
Anthony Gordon,28.032124428947583,0.12877974443107257,0,0,0,479.0,False
William Osula,24.498979570586204,0.8373744289663594,0,0,0,87.0,False
Fabian Schär,67.26856621037794,0.2878970772055687,0,0,0,108.0,False
Raúl Jiménez,16.01124604770035,1.11832143723283,0,0,0,0.0,False
Carlos Baleba,26.24804754643667,0.13758673647034994,0,0,0,29.0,False
Georginio Rutter,28.270833026283466,0.4857958854403141,0,0,0,368.0,False
Kaoru Mitoma,11.788977903109332,0.9663246241515698,0,0,0,0.0,False
Georginio Rutter,21.027838690650075,0.24497866312686414,0,0,0,368.0,False
Mats Wieffer,13.427211177307075,0.6107259643892088,0,0,0,170.0,False
Harry Wilson,11.992080720208651,1.2833331213096142,0,0,0,501.0,False
Josh King,14.918780110987633,1.3063079442456638,0,0,0,226.0,False
Raúl Jiménez,7.874642849044014,1.2610933822524397,0,0,0,0.0,False
Matt O'Riley,11.5,0.0,1,1,0,63.0,True
Alex Iwobi,37.19489212244068,0.7930025795511417,0,0,0,227.0,False
Yankuba Minteh,14.217243052012577,0.7605276705858433,0,0,0,498.0,False
Diego Gómez,25.416726775885202,0.15803366164486032,0,0,0,0.0,False
Lewis Dunk,9.493682109698009,1.1589890214331806,0,0,0,156.0,False
Brajan Gruda,16.0878836395593,1.043169305631745,1,0,1,152.0,False
Emile Smith Rowe,21.47300631024915,0.3320594675428855,0,0,0,321.0,False
Rodrigo Muniz,9.403190947758102,0.9975419164019244,1,0,0,0.0,True
Jarrod Bowen,20.763429389192915,1.2063887376496938,0,0,0,685.0,False
El Hadji Malick Diouf,26.30931394012394,0.026609687246924703,0,0,0,83.0,False
Habib Diarra,19.642046736529267,1.0068004097664383,1,0,1,166.0,False
Dan Ballard,11.520850663036999,1.3342385172508806,0,0,0,0.0,False
El Hadji Malick Diouf,16.776471619503305,0.49030795737540406,0,0,0,83.0,False
Niclas Füllkrug,10.61037228376083,0.75873781502285,0,0,0,130.0,False
